epsilon,Mdot_over_MdotBHL,log_Mdot_over_Mdot0
0,2.5875073080859723,1.3159715720682912
5,3.6712901545413925,1.4679086966216444
20,5.22634504065807,1.6212880652319372
500,15.73176829736377,2.099867528345379
