epsilon,Mdot_over_MdotBHL,log_Mdot_over_Mdot0
0,1.8121313801820649,1.4520097070057485
5,2.449759039770143,1.582943394933857
20,3.2872262143923137,1.7106496176188366
500,9.112939623654961,2.1534785189495063
500,9.112939623654961,2.1534785189495063
