epsilon,Mdot_over_MdotBHL,log_Mdot_over_Mdot0
0,1.3331355793021424,1.6935105550587548
5,1.795681786225688,1.8228656134224979
20,2.11164673167873,1.8932575004057874
500,4.344266515814243,2.206552696712075
