epsilon,Mdot_over_MdotBHL,log_Mdot_over_Mdot0
0,2.0441819635830925,1.5043395780769708
5,2.778187372163958,1.6375815589773526
20,3.66339780763035,1.7577041071917376
500,9.72779128468843,2.1818342700088653
