epsilon,Mdot_over_MdotBHL,log_Mdot_over_Mdot0
0,4.169268294401047,1.2856060919314232
5,6.369200423444309,1.469631164154322
20,9.256540206020393,1.6319949406924825
500,29.073073069991736,2.129037188662216
