epsilon,Mdot_over_MdotBHL,log_Mdot_over_Mdot0
0,1.5069708783901423,1.7467410956694687
5,2.0690393659030017,1.8844049895477373
20,2.4984537074894604,1.966307542884324
500,5.570116261098659,2.314500495831019
